Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	37/482	9.764721e-16	2.483168e-12	0	0	5.861341e+00	2.025831e+02	CCL13;CEBPA;CSF3;CSF3R;CEBPD;FPR1;MT1X;RORA;PTGS2;CXCL2;CX3CL1;ICAM1;SOCS2;MT2A;ZFP36;HAS2;ABL2;CCL2;IL12A;CCR5;IL13RA2;JUNB;CCR2;IL32;EGR1;IL4R;DUSP1;IL1R2;LIF;FOS;PTPN13;IL6;IL1B;IRF1;SDC1;IL18R1;PF4
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	41/621	4.457392e-15	5.667574e-12	0	0	5.021856e+00	1.659433e+02	CCL13;CEBPA;RALA;CSF3;CSF3R;CEBPD;PDGFB;FPR1;RORA;PTGS2;CXCL3;CXCL2;CX3CL1;ICAM1;SOCS2;IL1RL1;MT2A;IL18RAP;ABL2;TNFRSF17;CCL2;IL12A;MAP3K8;CCR5;IL13RA2;JUNB;CCR2;IL32;EGR1;IL15RA;IL4R;IL1R2;LIF;FOS;IL6;IL1B;IRF1;PELI1;SDC1;IL18R1;PF4
GO_Biological_Process_2021	regulation of smooth muscle cell proliferation (GO:0048660)	14/49	1.428811e-14	1.211155e-11	0	0	2.656081e+01	8.467414e+02	EDN1;PTGIR;NDRG4;PDGFB;TNFAIP3;IGF1;THBS1;CX3CL1;BMP4;IL6;NR4A3;CDH13;IL12A;TRIB1
GO_Biological_Process_2021	inflammatory response (GO:0006954)	23/230	1.526276e-12	9.703300e-10	0	0	7.542780e+00	2.052254e+02	CCL13;PTGIR;FPR1;ADM;FOS;LIAS;CXCL3;SELE;CXCL2;THBS1;CX3CL1;BMP2;IL6;ELF3;IL1B;BLNK;NOX4;CCL2;PTX3;AGTR2;CCR5;CCR2;PF4
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	39/764	6.333265e-11	3.221099e-08	0	0	3.764525e+00	8.840090e+01	ACVRL1;CEBPA;VIPR1;CSF3;LTK;FLT4;PDGFB;THBS1;CX3CL1;DPP4;ESM1;GPNMB;ADAMTS1;PDGFD;HAS2;HES1;ADAMTS8;JUNB;EDN1;JUN;JUND;LIF;VEGFC;IGF1;KLF4;FOSL1;BMP4;CLDN5;IL6;BMP2;NR4A3;CEACAM6;IL1B;IRF1;NOX4;CDH13;FGFR2;HBEGF;PF4
GO_Biological_Process_2021	positive regulation of smooth muscle cell proliferation (GO:0048661)	11/46	8.556602e-11	3.626573e-08	0	0	2.065982e+01	4.789304e+02	BMP4;EDN1;JUN;IL6;NR4A3;ADAMTS1;PDGFB;CDH13;IGF1;THBS1;CX3CL1
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	19/203	4.375271e-10	1.589474e-07	0	0	6.921672e+00	1.491612e+02	SERPINF1;SPHK1;TIE1;SERPINE1;VEGFC;TNFAIP3;KLF4;THBS1;RHOB;CLDN5;CDH5;IL6;GPNMB;ADAMTS1;IL1B;ANGPTL4;SASH1;CCR2;PF4
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	41/908	8.006057e-10	2.544925e-07	0	0	3.309035e+00	6.930989e+01	ACVRL1;FOXA1;CEBPA;CSF3;NOTCH4;SERPINE1;PDGFB;RORA;MEOX2;CX3CL1;FSTL3;SOX17;MYB;HES1;JUNB;IER2;EGR1;EDN1;JUN;JUND;FOXF1;EAF2;LIF;IGF1;FOS;KLF4;KLF2;FOSL1;NR4A2;BMP4;NR4A1;IL6;BMP2;NR4A3;ELF3;IRF1;MAFF;CDH13;ATF3;FGFR2;PF4
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	28/474	1.583445e-09	4.397140e-07	0	0	4.284197e+00	8.681352e+01	VIPR1;CSF3;FLT4;PDGFB;THBS1;CX3CL1;DPP4;ESM1;PDGFD;HAS2;HES1;EDN1;SPHK1;LIF;VEGFC;IGF1;FOSL1;BMP4;CLDN5;IL6;BMP2;NR4A3;CEACAM6;IL1B;CDH13;NES;FGFR2;HBEGF
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	13/92	1.729115e-09	4.397140e-07	0	0	1.086575e+01	2.192236e+02	ACVRL1;EGFL7;EGR3;FLT4;TIE1;PDGFB;VEGFC;FUT1;THBS1;BMP4;NR4A1;BMP2;CDH13
